ISP;Cell_ID;PhysCID;Band;Location
O2;18279515;146;1800;Oleska - Krymlov, hospoda
O2;18496080;73;800;Kourim, Mirove Námesti
O2;18434140;370;1800;Polni Voderady, Kamhajek
T-Mobile;58882929;49;2100;Nymburk, Prazska
T-Mobile;18434059;221;800;Polni Voderady, Kamhajek
